id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1253296910846263296,1253280788298305537,1587644243000,2020-04-23,08:17:23,Eastern Daylight Time,3353256492,carellirick,Rick Carelli,,"Oh well ? It’s to bad , joe Biden passed away. We’ll have to nominate Coumo he was so great poisoning the public during the demokkkrat corona attack. Demokkkrats are the enemy of state.","['because93', 'debrammason1']",[],[],0,0,0,[],[],https://twitter.com/CarelliRick/status/1253296910846263296,False,,0,DC,,,,,,"[{'user_id': '3353256492', 'username': 'CarelliRick'}, {'user_id': '1010522757543669761', 'username': 'because93'}, {'user_id': '714949505720823808', 'username': 'DebraMMason1'}]",,,,
1253296800783630337,1253296800783630337,1587644217000,2020-04-23,08:16:57,Eastern Daylight Time,763034362149474304,tiquetrader,TiqueTrader,,Early L.C. Smith Corona Secretarial Model 8 110 inch Typewriter Works  https://tiquetrader.com/product/early-l-c-smith-corona-secretarial-model-8-110-inch-typewriter-works/ …,[],['https://tiquetrader.com/product/early-l-c-smith-corona-secretarial-model-8-110-inch-typewriter-works/'],[],0,0,0,[],[],https://twitter.com/tiquetrader/status/1253296800783630337,False,,0,DC,,,,,,"[{'user_id': '763034362149474304', 'username': 'tiquetrader'}]",,,,
1253296720592515072,1253296720592515072,1587644197000,2020-04-23,08:16:37,Eastern Daylight Time,1213275291021279233,everett33346815,Everett James,,Have any SS retirees gotten their Corona check. I know of NO ONE,[],[],[],0,0,0,[],[],https://twitter.com/Everett33346815/status/1253296720592515072,False,,0,DC,,,,,,"[{'user_id': '1213275291021279233', 'username': 'Everett33346815'}]",,,,
1253296409908051968,1253296409908051968,1587644123000,2020-04-23,08:15:23,Eastern Daylight Time,15852501,ianbush,ianbush,,"Someday soon, we will be free of this coronavirus, and we will see the return of the market. If you are thinking of selling post-corona, this list can help.  https://www.loudoun-homes.com/real-estate-blog/cooped-up-at-home-5-outdoor-projects-to-get-your-home-ready-for-the-post-pandemic-real-estate-market/ … pic.twitter.com/d3eKs2P0al",[],['https://www.loudoun-homes.com/real-estate-blog/cooped-up-at-home-5-outdoor-projects-to-get-your-home-ready-for-the-post-pandemic-real-estate-market/'],['https://pbs.twimg.com/media/EWSacW2XsAAoDtZ.jpg'],0,0,0,[],[],https://twitter.com/ianbush/status/1253296409908051968,False,,0,DC,,,,,,"[{'user_id': '15852501', 'username': 'ianbush'}]",,,,
1253296291293134854,1253291018256101379,1587644095000,2020-04-23,08:14:55,Eastern Daylight Time,1188799390703505408,bishop25074003,Bishop Fred Moses,,"So now you people are debating for next COS position not the way to solution of how we get through with this Corona Virus, God will not allow you to seat on that chair cos I expected you people to help find a way out so we can get back to work but ur fighting for position.",['channelstv'],[],[],0,0,1,[],[],https://twitter.com/Bishop25074003/status/1253296291293134854,False,,0,DC,,,,,,"[{'user_id': '1188799390703505408', 'username': 'Bishop25074003'}, {'user_id': '125346858', 'username': 'channelstv'}]",,,,
1253295174316429312,1253295174316429312,1587643829000,2020-04-23,08:10:29,Eastern Daylight Time,1177332256437940226,amgcgreensdept,Allentown Municipal Greens Department,,Just caught a glimpse of the brand of shovel I'm using....#corona #irrigationwork pic.twitter.com/eQIwXX7G2R,[],[],['https://pbs.twimg.com/media/EWSZS-cXgAEtKN6.jpg'],0,0,6,"['#corona', '#irrigationwork']",[],https://twitter.com/AMGCGreensDept/status/1253295174316429312,False,,0,DC,,,,,,"[{'user_id': '1177332256437940226', 'username': 'AMGCGreensDept'}]",,,,
1253295169002246152,1253071219844399104,1587643828000,2020-04-23,08:10:28,Eastern Daylight Time,743519161280765952,redwood1grace,Grace Redwood,,Currently there are not enough thorough studies to  absolutely  confirm  or negate the benefits of this therapy to treat corona virus .,"['wdunlap', 'jaketapper']",[],[],1,0,0,[],[],https://twitter.com/Redwood1Grace/status/1253295169002246152,False,,0,DC,,,,,,"[{'user_id': '743519161280765952', 'username': 'Redwood1Grace'}, {'user_id': '16585184', 'username': 'wdunlap'}, {'user_id': '14529929', 'username': 'jaketapper'}]",,,,
1253295162048106496,1253295162048106496,1587643826000,2020-04-23,08:10:26,Eastern Daylight Time,174511884,joebarracato,Joseph Barracato,,Tom Hanks sends typewriter to bullied Australian boy named Corona  https://news.yahoo.com/tom-hanks-sends-typewriter-bullied-095353466.html?soc_src=hl-viewer&soc_trk=tw … via @YahooNews,['yahoonews'],['https://news.yahoo.com/tom-hanks-sends-typewriter-bullied-095353466.html?soc_src=hl-viewer&soc_trk=tw'],[],0,0,0,[],[],https://twitter.com/JoeBarracato/status/1253295162048106496,False,,0,DC,,,,,,"[{'user_id': '174511884', 'username': 'JoeBarracato'}, {'user_id': '7309052', 'username': 'YahooNews'}]",,,,
1253295038555193344,1253295038555193344,1587643796000,2020-04-23,08:09:56,Eastern Daylight Time,840358149404135425,freshwaterfire,Freshwater Fire Stn,,"Tonight, 8pm, we’ll be sounding our sirens to say thank you to our amazing NHS & key workers. Today we’re featuring our CFR colleagues & the @atcorsiowas team. Ordinary people doing extraordinary work during the corona crisis. #clapforcarers #nhs #stayhomestaysafe #iwight pic.twitter.com/qyWTjMZlJW",['atcorsiowas'],[],"['https://pbs.twimg.com/media/EWSZMHAXgAIxPdl.jpg', 'https://pbs.twimg.com/media/EWSZMG8WoAABRW5.jpg', 'https://pbs.twimg.com/media/EWSZMG5XgAEs2r4.jpg', 'https://pbs.twimg.com/media/EWSZMHpXkAAiumr.jpg']",0,5,21,"['#clapforcarers', '#nhs', '#stayhomestaysafe', '#iwight']",[],https://twitter.com/FreshwaterFire/status/1253295038555193344,False,,0,DC,,,,,,"[{'user_id': '840358149404135425', 'username': 'FreshwaterFire'}, {'user_id': '1111623860019974146', 'username': 'atcorsiowas'}]",,,,
1253294900763856897,1253036704644153344,1587643764000,2020-04-23,08:09:24,Eastern Daylight Time,384963895,crufreeman,CFreeMD,,You don’t want the corona response investigated? 800k USA cases later?? You sure about that Sean???,['seanhannity'],[],[],0,0,0,[],[],https://twitter.com/crufreeman/status/1253294900763856897,False,,0,DC,,,,,,"[{'user_id': '384963895', 'username': 'crufreeman'}, {'user_id': '41634520', 'username': 'seanhannity'}]",,,,
